,time,value
1,1973,160.218
2,1973.083333,143.539
3,1973.166667,148.158
4,1973.25,139.589
5,1973.333333,147.395
6,1973.416667,161.244
7,1973.5,173.733
8,1973.583333,177.365
9,1973.666667,156.875
10,1973.75,154.197
11,1973.833333,148.138
12,1973.916667,153.605
13,1974,157.555
14,1974.083333,142.748
15,1974.166667,150.342
16,1974.25,142.312
17,1974.333333,153.813
18,1974.416667,156.44
19,1974.5,178.247
20,1974.583333,174.119
21,1974.666667,152.467
22,1974.75,152.196
23,1974.833333,150.071
24,1974.916667,160.009
25,1975,164.623
26,1975.083333,147.349
27,1975.166667,155.76
28,1975.25,146.495
29,1975.333333,153.531
30,1975.416667,162.717
31,1975.5,177.057
32,1975.583333,179.931
33,1975.666667,155.441
34,1975.75,155.188
35,1975.833333,153.035
36,1975.916667,169.628
37,1976,178.609
38,1976.083333,156.966
39,1976.166667,164.467
40,1976.25,153.467
41,1976.333333,157.664
42,1976.416667,173.674
43,1976.5,186.691
44,1976.583333,186.639
45,1976.666667,165.237
46,1976.75,164.009
47,1976.833333,169.346
48,1976.916667,184.144
49,1977,196.665
50,1977.083333,162.949
51,1977.166667,169.437
52,1977.25,157.117
53,1977.333333,169.596
54,1977.416667,181.031
55,1977.5,199.168
56,1977.583333,196.363
57,1977.666667,176.498
58,1977.75,166.645
59,1977.833333,167.388
60,1977.916667,184.589
61,1978,198.108
62,1978.083333,173.746
63,1978.166667,173.461
64,1978.25,160.013
65,1978.333333,175.549
66,1978.416667,188.585
67,1978.5,202.947
68,1978.583333,206.659
69,1978.666667,185.802
70,1978.75,176.013
71,1978.833333,176.389
72,1978.916667,192.105
73,1979,209.987
74,1979.083333,186.587
75,1979.166667,183.154
76,1979.25,170.26
77,1979.333333,178.409
78,1979.416667,186.976
79,1979.5,202.522
80,1979.583333,205.101
81,1979.666667,180.975
82,1979.75,179.953
83,1979.833333,177.77
84,1979.916667,188.97
85,1980,200.296
86,1980.083333,188.961
87,1980.166667,187.745
88,1980.25,169.017
89,1980.333333,176.066
90,1980.416667,189.748
91,1980.5,217.058
92,1980.583333,215.629
93,1980.666667,191.698
94,1980.75,178.761
95,1980.833333,178.771
96,1980.916667,195.849
97,1981,206.758
98,1981.083333,179.86
99,1981.166667,185.834
100,1981.25,172.841
101,1981.333333,178.139
102,1981.416667,203.021
103,1981.5,220.655
104,1981.583333,210.639
105,1981.666667,187.051
106,1981.75,181.558
107,1981.833333,175.792
108,1981.916667,195.826
109,1982,209.694
110,1982.083333,180.546
111,1982.166667,187.968
112,1982.25,172.877
113,1982.333333,177.48
114,1982.416667,186.447
115,1982.5,210.865
116,1982.583333,205.892
117,1982.666667,180.875
118,1982.75,173.172
119,1982.833333,173.599
120,1982.916667,184.958
121,1983,195.871
122,1983.083333,172.725
123,1983.166667,182.769
124,1983.25,170.669
125,1983.333333,174.725
126,1983.416667,191.367
127,1983.5,220.447
128,1983.583333,230.193
129,1983.666667,195.817
130,1983.75,183.137
131,1983.833333,183.171
132,1983.916667,212.555
133,1984,216.924
134,1984.083333,189.81
135,1984.166667,200.387
136,1984.25,181.381
137,1984.333333,192.55
138,1984.416667,209.967
139,1984.5,221.526
140,1984.583333,229.532
141,1984.666667,195.411
142,1984.75,191.142
143,1984.833333,190.602
144,1984.916667,200.232
145,1985,228.148
146,1985.083333,198.488
147,1985.166667,195.25
148,1985.25,185.173
149,1985.333333,197.123
150,1985.416667,205.682
151,1985.5,227.004
152,1985.583333,226.286
153,1985.666667,202.712
154,1985.75,194.995
155,1985.833333,192.649
156,1985.916667,219.49
157,1986,217.761
158,1986.083333,192.582
159,1986.166667,197.115
160,1986.25,186.37
161,1986.333333,197.647
162,1986.416667,215.334
163,1986.5,242.954
164,1986.583333,225.402
165,1986.666667,206.905
166,1986.75,197.96
167,1986.833333,196.654
168,1986.916667,213.787
169,1987,223.041
170,1987.083333,194.281
171,1987.166667,202.13
172,1987.25,189.792
173,1987.333333,206.407
174,1987.416667,225.908
175,1987.5,248.196
176,1987.583333,247.881
177,1987.666667,213.221
178,1987.75,203.215
179,1987.833333,200.479
180,1987.916667,220.736
181,1988,238.188
182,1988.083333,217.183
183,1988.166667,214.294
184,1988.25,196.297
185,1988.333333,208.704
186,1988.416667,233.066
187,1988.5,257.742
188,1988.583333,267.929
189,1988.666667,220.392
190,1988.75,210.814
191,1988.833333,209.815
192,1988.916667,232.988
193,1989,246.766
194,1989.083333,233.783
195,1989.166667,241.946
196,1989.25,222.869
197,1989.333333,234.825
198,1989.416667,250.919
199,1989.5,273.458
200,1989.583333,275.42
201,1989.666667,242.794
202,1989.75,235.669
203,1989.833333,234.25
204,1989.916667,274.448
205,1990,255.187
206,1990.083333,229.499
207,1990.166667,244.761
208,1990.25,229.77
209,1990.333333,241.774
210,1990.416667,268.992
211,1990.5,287.448
212,1990.583333,290.655
213,1990.666667,258.357
214,1990.75,244.372
215,1990.833333,231.242
216,1990.916667,255.77
217,1991,269.214
218,1991.083333,228.29
219,1991.166667,240.561
220,1991.25,227.799
221,1991.333333,254.873
222,1991.416667,269.099
223,1991.5,294.648
224,1991.583333,292.159
225,1991.666667,256.027
226,1991.75,245.378
227,1991.833333,241.661
228,1991.916667,254.089
229,1992,267.773
230,1992.083333,239.514
231,1992.166667,247.733
232,1992.25,233.406
233,1992.333333,242.412
234,1992.416667,261.077
235,1992.5,293.617
236,1992.583333,281.927
237,1992.666667,259.925
238,1992.75,244.994
239,1992.833333,244.162
240,1992.916667,267.343
241,1993,271.021
242,1993.083333,248.015
243,1993.166667,261.248
244,1993.25,234.695
245,1993.333333,244.326
246,1993.416667,275.36
247,1993.5,312.225
248,1993.583333,311.45
249,1993.666667,264.032
250,1993.75,250.553
251,1993.833333,252.102
252,1993.916667,272.165
253,1994,289.768
254,1994.083333,249.172
255,1994.166667,257.998
256,1994.25,240.637
257,1994.333333,252.745
258,1994.416667,294.162
259,1994.5,311.257
260,1994.583333,307.605
261,1994.666667,266.262
262,1994.75,256.528
263,1994.833333,251.868
264,1994.916667,269.52
265,1995,279.773
266,1995.083333,252.307
267,1995.166667,261.343
268,1995.25,244.736
269,1995.333333,264.288
270,1995.416667,286.258
271,1995.5,330.416
272,1995.583333,345.78
273,1995.666667,277.575
274,1995.75,263.978
275,1995.833333,261.478
276,1995.916667,285.554
277,1996,296.923
278,1996.083333,270.685
279,1996.166667,275.019
280,1996.25,251.613
281,1996.333333,282.266
282,1996.416667,302.717
283,1996.5,327.708
284,1996.583333,329.286
285,1996.666667,283.151
286,1996.75,271.446
287,1996.833333,269.122
288,1996.916667,284.25
289,1997,300.574
290,1997.083333,258.131
291,1997.166667,272.258
292,1997.25,258.284
293,1997.333333,272.914
294,1997.416667,299.092
295,1997.5,344.516
296,1997.583333,332.899
297,1997.666667,301.057
298,1997.75,284.971
299,1997.833333,271.121
300,1997.916667,296.356
301,1998,295.26
302,1998.083333,260.59
303,1998.166667,286.878
304,1998.25,261.23
305,1998.333333,299.64
306,1998.416667,328.903
307,1998.5,361.936
308,1998.583333,357.366
309,1998.666667,318.924
310,1998.75,284.446
311,1998.833333,267.136
312,1998.916667,297.986
313,1999,315.814
314,1999.083333,274.82
315,1999.166667,298.145
316,1999.25,280.719
317,1999.333333,300.098
318,1999.416667,328.924
319,1999.5,376.538
320,1999.583333,364.031
321,1999.666667,305.516
322,1999.75,283.935
323,1999.833333,271.096
324,1999.916667,295.174
325,2000,327.994
326,2000.083333,294.169
327,2000.166667,301.58
328,2000.25,285.578
329,2000.333333,322.954
330,2000.416667,339.054
331,2000.5,356.528
332,2000.583333,368.669
333,2000.666667,312.447
334,2000.75,289.452
335,2000.833333,284.67
336,2000.916667,319.011
337,2001,332.493
338,2001.083333,282.94
339,2001.166667,300.707
340,2001.25,278.079
341,2001.333333,300.492
342,2001.416667,327.694
343,2001.5,357.614
344,2001.583333,370.533
345,2001.666667,306.929
346,2001.75,294.734
347,2001.833333,278.934
348,2001.916667,305.496
349,2002,319.941
350,2002.083333,281.826
351,2002.166667,302.549
352,2002.25,289.848
353,2002.333333,307.675
354,2002.416667,341.023
355,2002.5,381.542
356,2002.583333,374.586
357,2002.666667,331.279
358,2002.75,307.059
359,2002.833333,296.29
360,2002.916667,324.834
361,2003,341.989
362,2003.083333,299.249
363,2003.166667,304.317
364,2003.25,285.756
365,2003.333333,307.545
366,2003.416667,328.694
367,2003.5,374.396
368,2003.583333,381.816
369,2003.666667,323.136
370,2003.75,306.741
371,2003.833333,297.867
372,2003.916667,331.68
373,2004,346.546
374,2004.083333,314.28
375,2004.166667,308.812
376,2004.25,290.56
377,2004.333333,327.38
378,2004.416667,345.085
379,2004.5,377.332
380,2004.583333,368.439
381,2004.666667,335.622
382,2004.75,312.45
383,2004.833333,302.101
384,2004.916667,341.948
385,2005,343.121
386,2005.083333,298.5
387,2005.166667,317.458
388,2005.25,289.562
389,2005.333333,315.062
390,2005.416667,363.672
391,2005.5,402.274
392,2005.583333,404.941
393,2005.666667,350.218
394,2005.75,316.398
395,2005.833333,306.115
396,2005.916667,348.101
397,2006,328.658
398,2006.083333,307.333
399,2006.166667,318.73
400,2006.25,297.858
401,2006.333333,330.616
402,2006.416667,364.26
403,2006.5,410.421
404,2006.583333,407.763
405,2006.666667,332.055
406,2006.75,321.567
407,2006.833333,309.159
408,2006.916667,336.283
409,2007,353.531
410,2007.083333,323.23
411,2007.166667,320.471
412,2007.25,303.129
413,2007.333333,330.203
414,2007.416667,362.755
415,2007.5,393.226
416,2007.583333,421.797
417,2007.666667,355.394
418,2007.75,332.615
419,2007.833333,314.103
420,2007.916667,346.29
421,2008,362.998
422,2008.083333,325.106
423,2008.166667,324.63
424,2008.25,305.865
425,2008.333333,325.245
426,2008.416667,373.109
427,2008.5,402.9
428,2008.583333,388.987
429,2008.666667,338.056
430,2008.75,318.547
431,2008.833333,310.046
432,2008.916667,343.898
433,2009,354.993
434,2009.083333,300.887
435,2009.166667,310.603
436,2009.25,289.537
437,2009.333333,311.306
438,2009.416667,347.658
439,2009.5,372.542
440,2009.583333,381.221
441,2009.666667,327.401
442,2009.75,307.04
443,2009.833333,296.635
444,2009.916667,350.507
445,2010,360.957
446,2010.083333,319.735
447,2010.166667,312.168
448,2010.25,287.8
449,2010.333333,327.936
450,2010.416667,375.759
451,2010.5,409.725
452,2010.583333,408.884
453,2010.666667,346.045
454,2010.75,307.921
455,2010.833333,306.01
456,2010.916667,362.119
457,2011,363.105
458,2011.083333,313.293
459,2011.166667,318.71
460,2011.25,302.4
461,2011.333333,323.627
462,2011.416667,367.727
463,2011.5,418.693
464,2011.583333,406.541
465,2011.666667,337.961
466,2011.75,308.727
467,2011.833333,304.119
468,2011.916667,335.753
469,2012,340.919
470,2012.083333,310.151
471,2012.166667,309.04
472,2012.25,295.94
473,2012.333333,337.53
474,2012.416667,361.506
475,2012.5,416.515
476,2012.583333,396.108
477,2012.666667,334.735
478,2012.75,312.157
479,2012.833333,305.548
480,2012.916667,334.335
